"customer_id","customer_name","order_id","product_id","product_name","category","sub_category","order_date","ship_date","ship_mode","segment","region","state","city","sales","order_month","order_year","quantity_orders","customer_id:1","customer_name:1","orders_quantity","orders_sum","avg_order","last_order","last_order_day","rfm_recency","rfm_frequency","rfm_monetary","rfm_cell","rfm_cell_string","rfm_segment"
DW-13585,Dorothy Wardle,US-2018-164147,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,"2018-02-02 00:00:00","2018-02-05 00:00:00",First Class,Corporate,East,Ohio,Columbus,59.97,2,2018,3,DW-13585,Dorothy Wardle,3,487.93,97.59,"2018-05-02 00:00:00",242,4,3,2,9,"432",Потерянные клиенты
DW-13585,Dorothy Wardle,US-2018-164147,OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,"2018-02-02 00:00:00","2018-02-05 00:00:00",First Class,Corporate,East,Ohio,Columbus,78.3,2,2018,3,DW-13585,Dorothy Wardle,3,487.93,97.59,"2018-05-02 00:00:00",242,4,3,2,9,"432",Потерянные клиенты
DW-13585,Dorothy Wardle,US-2018-164147,OFF-FA-10002780,Staples,Office Supplies,Fasteners,"2018-02-02 00:00:00","2018-02-05 00:00:00",First Class,Corporate,East,Ohio,Columbus,21.46,2,2018,3,DW-13585,Dorothy Wardle,3,487.93,97.59,"2018-05-02 00:00:00",242,4,3,2,9,"432",Потерянные клиенты
SH-19975,Sally Hughsby,CA-2018-106180,OFF-AR-10000940,Newell 343,Office Supplies,Art,"2018-09-18 00:00:00","2018-09-23 00:00:00",Standard Class,Corporate,West,California,San Francisco,8.82,9,2018,5,SH-19975,Sally Hughsby,5,907.91,82.54,"2018-12-01 00:00:00",29,2,4,3,9,"243",Лояльные клиенты
SH-19975,Sally Hughsby,CA-2018-106180,OFF-EN-10004030,Convenience Packs of Business Envelopes,Office Supplies,Envelopes,"2018-09-18 00:00:00","2018-09-23 00:00:00",Standard Class,Corporate,West,California,San Francisco,10.86,9,2018,5,SH-19975,Sally Hughsby,5,907.91,82.54,"2018-12-01 00:00:00",29,2,4,3,9,"243",Лояльные клиенты
SH-19975,Sally Hughsby,CA-2018-106180,OFF-PA-10004327,Xerox 1911,Office Supplies,Paper,"2018-09-18 00:00:00","2018-09-23 00:00:00",Standard Class,Corporate,West,California,San Francisco,143.7,9,2018,5,SH-19975,Sally Hughsby,5,907.91,82.54,"2018-12-01 00:00:00",29,2,4,3,9,"243",Лояльные клиенты
SG-20080,Sandra Glassco,CA-2018-155376,OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,"2018-12-22 00:00:00","2018-12-27 00:00:00",Standard Class,Consumer,Central,Missouri,Independence,839.43,12,2018,1,SG-20080,Sandra Glassco,1,839.43,839.43,"2018-12-22 00:00:00",8,1,1,3,5,"113",Новые клиенты
SJ-20500,Shirley Jackson,US-2018-152366,OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,"2018-04-21 00:00:00","2018-04-25 00:00:00",Second Class,Consumer,Central,Texas,Houston,97.26,4,2018,1,SJ-20500,Shirley Jackson,1,97.26,97.26,"2018-04-21 00:00:00",253,4,1,1,6,"411",Потерянные клиенты
VM-21685,Valerie Mitchum,CA-2018-107720,OFF-ST-10001414,Decoflex Hanging Personal Folder File,Office Supplies,Storage,"2018-11-06 00:00:00","2018-11-13 00:00:00",Standard Class,Home Office,East,New Jersey,Westfield,46.26,11,2018,3,VM-21685,Valerie Mitchum,3,762.14,152.43,"2018-11-06 00:00:00",54,2,3,3,8,"233",Лояльные клиенты
FH-14365,Fred Hopkins,US-2018-124303,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,"2018-07-06 00:00:00","2018-07-13 00:00:00",Standard Class,Corporate,East,Pennsylvania,Philadelphia,2.95,7,2018,4,FH-14365,Fred Hopkins,4,481.13,80.19,"2018-12-25 00:00:00",5,1,4,2,7,"142",Новые клиенты
FH-14365,Fred Hopkins,US-2018-124303,OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper,"2018-07-06 00:00:00","2018-07-13 00:00:00",Standard Class,Corporate,East,Pennsylvania,Philadelphia,16.06,7,2018,4,FH-14365,Fred Hopkins,4,481.13,80.19,"2018-12-25 00:00:00",5,1,4,2,7,"142",Новые клиенты
MB-17305,Maria Bertelson,CA-2018-105074,OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,Paper,"2018-06-24 00:00:00","2018-06-29 00:00:00",Standard Class,Consumer,East,Ohio,Akron,21.74,6,2018,4,MB-17305,Maria Bertelson,4,566.69,94.45,"2018-11-12 00:00:00",48,2,4,2,8,"242",Лояльные клиенты
LC-17140,Logan Currie,US-2018-116701,OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances,"2018-12-17 00:00:00","2018-12-21 00:00:00",Second Class,Consumer,Central,Texas,Dallas,66.28,12,2018,4,LC-17140,Logan Currie,4,1269.85,181.41,"2018-12-17 00:00:00",13,1,4,3,8,"143",Новые клиенты
HK-14890,Heather Kirkland,CA-2018-126382,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,"2018-06-03 00:00:00","2018-06-07 00:00:00",Standard Class,Corporate,South,Tennessee,Franklin,35.17,6,2018,3,HK-14890,Heather Kirkland,3,2827.74,403.96,"2018-08-01 00:00:00",151,4,4,4,12,"444",Потерянные клиенты
LE-16810,Laurel Elliston,CA-2018-108329,TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,Technology,Phones,"2018-12-09 00:00:00","2018-12-14 00:00:00",Standard Class,Consumer,West,California,Whittier,444.77,12,2018,2,LE-16810,Laurel Elliston,2,650.69,162.67,"2018-12-09 00:00:00",21,1,2,3,6,"123",Новые клиенты
JH-15985,Joseph Holt,CA-2018-135860,OFF-ST-10000642,"Tennsco Lockers, Gray",Office Supplies,Storage,"2018-12-01 00:00:00","2018-12-07 00:00:00",Standard Class,Consumer,Central,Michigan,Saginaw,83.92,12,2018,1,JH-15985,Joseph Holt,1,376.1,75.22,"2018-12-01 00:00:00",29,2,1,2,5,"212",Лояльные клиенты
JH-15985,Joseph Holt,CA-2018-135860,TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,"2018-12-01 00:00:00","2018-12-07 00:00:00",Standard Class,Consumer,Central,Michigan,Saginaw,131.98,12,2018,1,JH-15985,Joseph Holt,1,376.1,75.22,"2018-12-01 00:00:00",29,2,1,2,5,"212",Лояльные клиенты
JH-15985,Joseph Holt,CA-2018-135860,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,"2018-12-01 00:00:00","2018-12-07 00:00:00",Standard Class,Consumer,Central,Michigan,Saginaw,15.92,12,2018,1,JH-15985,Joseph Holt,1,376.1,75.22,"2018-12-01 00:00:00",29,2,1,2,5,"212",Лояльные клиенты
JH-15985,Joseph Holt,CA-2018-135860,OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners,"2018-12-01 00:00:00","2018-12-07 00:00:00",Standard Class,Consumer,Central,Michigan,Saginaw,52.29,12,2018,1,JH-15985,Joseph Holt,1,376.1,75.22,"2018-12-01 00:00:00",29,2,1,2,5,"212",Лояльные клиенты
JH-15985,Joseph Holt,CA-2018-135860,OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,"2018-12-01 00:00:00","2018-12-07 00:00:00",Standard Class,Consumer,Central,Michigan,Saginaw,91.99,12,2018,1,JH-15985,Joseph Holt,1,376.1,75.22,"2018-12-01 00:00:00",29,2,1,2,5,"212",Лояльные клиенты
CS-12400,Christopher Schild,US-2018-100930,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,Tables,"2018-04-07 00:00:00","2018-04-12 00:00:00",Standard Class,Home Office,South,Florida,Tampa,233.86,4,2018,5,CS-12400,Christopher Schild,5,2298.29,229.83,"2018-12-28 00:00:00",2,1,4,4,9,"144",Новые клиенты
CS-12400,Christopher Schild,US-2018-100930,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,"2018-04-07 00:00:00","2018-04-12 00:00:00",Standard Class,Home Office,South,Florida,Tampa,620.61,4,2018,5,CS-12400,Christopher Schild,5,2298.29,229.83,"2018-12-28 00:00:00",2,1,4,4,9,"144",Новые клиенты
CS-12400,Christopher Schild,US-2018-100930,OFF-BI-10001679,GBC Instant Index System for Binding Systems,Office Supplies,Binders,"2018-04-07 00:00:00","2018-04-12 00:00:00",Standard Class,Home Office,South,Florida,Tampa,5.33,4,2018,5,CS-12400,Christopher Schild,5,2298.29,229.83,"2018-12-28 00:00:00",2,1,4,4,9,"144",Новые клиенты
CS-12400,Christopher Schild,US-2018-100930,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,"2018-04-07 00:00:00","2018-04-12 00:00:00",Standard Class,Home Office,South,Florida,Tampa,258.07,4,2018,5,CS-12400,Christopher Schild,5,2298.29,229.83,"2018-12-28 00:00:00",2,1,4,4,9,"144",Новые клиенты
CS-12400,Christopher Schild,US-2018-100930,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories,"2018-04-07 00:00:00","2018-04-12 00:00:00",Standard Class,Home Office,South,Florida,Tampa,617.98,4,2018,5,CS-12400,Christopher Schild,5,2298.29,229.83,"2018-12-28 00:00:00",2,1,4,4,9,"144",Новые клиенты
DB-13120,David Bremer,CA-2018-160514,OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,"2018-11-12 00:00:00","2018-11-16 00:00:00",Standard Class,Corporate,West,California,Santa Clara,10.56,11,2018,2,DB-13120,David Bremer,2,771.54,385.77,"2018-11-12 00:00:00",48,2,2,3,7,"223",Лояльные клиенты
CC-12670,Craig Carreira,CA-2018-163139,TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,Technology,Accessories,"2018-12-01 00:00:00","2018-12-03 00:00:00",Second Class,Consumer,East,New York,New York City,20.37,12,2018,2,CC-12670,Craig Carreira,2,1216.24,243.25,"2018-12-01 00:00:00",29,2,3,3,8,"233",Лояльные клиенты
CC-12670,Craig Carreira,CA-2018-163139,OFF-ST-10002790,Safco Industrial Shelving,Office Supplies,Storage,"2018-12-01 00:00:00","2018-12-03 00:00:00",Second Class,Consumer,East,New York,New York City,221.55,12,2018,2,CC-12670,Craig Carreira,2,1216.24,243.25,"2018-12-01 00:00:00",29,2,3,3,8,"233",Лояльные клиенты
CC-12670,Craig Carreira,CA-2018-163139,OFF-BI-10003460,Acco 3-Hole Punch,Office Supplies,Binders,"2018-12-01 00:00:00","2018-12-03 00:00:00",Second Class,Consumer,East,New York,New York City,17.52,12,2018,2,CC-12670,Craig Carreira,2,1216.24,243.25,"2018-12-01 00:00:00",29,2,3,3,8,"233",Лояльные клиенты
Dl-13600,Dorris liebe,US-2018-155299,OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Appliances,"2018-06-08 00:00:00","2018-06-12 00:00:00",Standard Class,Corporate,Central,Texas,Pasadena,1.62,6,2018,2,Dl-13600,Dorris liebe,2,16.69,8.35,"2018-09-02 00:00:00",119,4,2,1,7,"421",Потерянные клиенты
CB-12535,Claudia Bergmann,CA-2018-136826,OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",Office Supplies,Art,"2018-06-16 00:00:00","2018-06-20 00:00:00",Standard Class,Corporate,South,North Carolina,Chapel Hill,14.02,6,2018,2,CB-12535,Claudia Bergmann,2,853.27,170.65,"2018-06-16 00:00:00",197,4,2,3,9,"423",Потерянные клиенты
CA-12310,Christine Abelman,US-2018-145366,OFF-ST-10004180,Safco Commercial Shelving,Office Supplies,Storage,"2018-12-09 00:00:00","2018-12-13 00:00:00",Standard Class,Corporate,East,Ohio,Cincinnati,37.21,12,2018,2,CA-12310,Christine Abelman,2,590.09,147.52,"2018-12-17 00:00:00",13,1,2,2,5,"122",Новые клиенты
CA-12310,Christine Abelman,US-2018-145366,OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,Envelopes,"2018-12-09 00:00:00","2018-12-13 00:00:00",Standard Class,Corporate,East,Ohio,Cincinnati,57.58,12,2018,2,CA-12310,Christine Abelman,2,590.09,147.52,"2018-12-17 00:00:00",13,1,2,2,5,"122",Новые клиенты
KH-16690,Kristen Hastings,CA-2018-163979,OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,"2018-12-28 00:00:00","2019-01-02 00:00:00",Second Class,Corporate,West,California,San Francisco,725.84,12,2018,2,KH-16690,Kristen Hastings,2,845.8,422.9,"2018-12-28 00:00:00",2,1,2,3,6,"123",Новые клиенты
BB-10990,Barry Blumstein,CA-2018-118136,OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,Paper,"2018-09-16 00:00:00","2018-09-17 00:00:00",First Class,Corporate,West,California,Inglewood,8.82,9,2018,2,BB-10990,Barry Blumstein,2,32.28,10.76,"2018-09-16 00:00:00",105,3,2,1,6,"321",Спящие клиенты
BB-10990,Barry Blumstein,CA-2018-118136,OFF-AR-10001427,Newell 330,Office Supplies,Art,"2018-09-16 00:00:00","2018-09-17 00:00:00",First Class,Corporate,West,California,Inglewood,5.98,9,2018,2,BB-10990,Barry Blumstein,2,32.28,10.76,"2018-09-16 00:00:00",105,3,2,1,6,"321",Спящие клиенты
AG-10495,Andrew Gjertsen,CA-2018-132976,OFF-PA-10000673,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",Office Supplies,Paper,"2018-10-13 00:00:00","2018-10-17 00:00:00",Standard Class,Corporate,East,Pennsylvania,Philadelphia,11.65,10,2018,1,AG-10495,Andrew Gjertsen,1,114.38,28.59,"2018-10-13 00:00:00",78,3,1,1,5,"311",Спящие клиенты
AG-10495,Andrew Gjertsen,CA-2018-132976,OFF-PA-10004470,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,Paper,"2018-10-13 00:00:00","2018-10-17 00:00:00",Standard Class,Corporate,East,Pennsylvania,Philadelphia,18.18,10,2018,1,AG-10495,Andrew Gjertsen,1,114.38,28.59,"2018-10-13 00:00:00",78,3,1,1,5,"311",Спящие клиенты
AG-10495,Andrew Gjertsen,CA-2018-132976,OFF-ST-10000876,Eldon Simplefile Box Office,Office Supplies,Storage,"2018-10-13 00:00:00","2018-10-17 00:00:00",Standard Class,Corporate,East,Pennsylvania,Philadelphia,59.71,10,2018,1,AG-10495,Andrew Gjertsen,1,114.38,28.59,"2018-10-13 00:00:00",78,3,1,1,5,"311",Спящие клиенты
AG-10495,Andrew Gjertsen,CA-2018-132976,OFF-LA-10002043,Avery 489,Office Supplies,Labels,"2018-10-13 00:00:00","2018-10-17 00:00:00",Standard Class,Corporate,East,Pennsylvania,Philadelphia,24.84,10,2018,1,AG-10495,Andrew Gjertsen,1,114.38,28.59,"2018-10-13 00:00:00",78,3,1,1,5,"311",Спящие клиенты
JH-15910,Jonathan Howell,US-2018-152380,FUR-TA-10002533,BPI Conference Tables,Furniture,Tables,"2018-11-19 00:00:00","2018-11-23 00:00:00",Standard Class,Consumer,Central,Illinois,Chicago,219.08,11,2018,3,JH-15910,Jonathan Howell,3,279.35,93.12,"2018-11-19 00:00:00",41,2,3,2,7,"232",Лояльные клиенты
SH-20395,Shahid Hopkins,CA-2018-126774,OFF-AR-10002804,Faber Castell Col-Erase Pencils,Office Supplies,Art,"2018-04-15 00:00:00","2018-04-17 00:00:00",First Class,Consumer,South,Virginia,Arlington,4.89,4,2018,6,SH-20395,Shahid Hopkins,6,341.57,48.8,"2018-12-07 00:00:00",23,1,4,2,7,"142",Новые клиенты
DJ-13510,Don Jones,CA-2018-153339,FUR-FU-10001967,Telescoping Adjustable Floor Lamp,Furniture,Furnishings,"2018-11-03 00:00:00","2018-11-05 00:00:00",Second Class,Corporate,South,Tennessee,Murfreesboro,15.99,11,2018,6,DJ-13510,Don Jones,6,413.76,51.72,"2018-11-12 00:00:00",48,2,4,2,8,"242",Лояльные клиенты
CC-12550,Clay Cheatham,CA-2018-169901,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,"2018-06-15 00:00:00","2018-06-19 00:00:00",Standard Class,Consumer,West,California,San Francisco,47.98,6,2018,3,CC-12550,Clay Cheatham,3,113.84,28.46,"2018-12-03 00:00:00",27,1,3,1,5,"131",Новые клиенты
TD-20995,Tamara Dahlen,CA-2018-134306,OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,"2018-07-08 00:00:00","2018-07-12 00:00:00",Standard Class,Consumer,East,Massachusetts,Lowell,7.56,7,2018,6,TD-20995,Tamara Dahlen,6,173.45,19.27,"2018-11-23 00:00:00",37,2,4,1,7,"241",Лояльные клиенты
TD-20995,Tamara Dahlen,CA-2018-134306,OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,"2018-07-08 00:00:00","2018-07-12 00:00:00",Standard Class,Consumer,East,Massachusetts,Lowell,24.56,7,2018,6,TD-20995,Tamara Dahlen,6,173.45,19.27,"2018-11-23 00:00:00",37,2,4,1,7,"241",Лояльные клиенты
TD-20995,Tamara Dahlen,CA-2018-134306,OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip",Office Supplies,Art,"2018-07-08 00:00:00","2018-07-12 00:00:00",Standard Class,Consumer,East,Massachusetts,Lowell,12.96,7,2018,6,TD-20995,Tamara Dahlen,6,173.45,19.27,"2018-11-23 00:00:00",37,2,4,1,7,"241",Лояльные клиенты
VB-21745,Victoria Brennan,CA-2018-155698,OFF-AP-10001124,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Office Supplies,Appliances,"2018-03-08 00:00:00","2018-03-11 00:00:00",First Class,Corporate,South,Georgia,Columbus,647.84,3,2018,2,VB-21745,Victoria Brennan,2,674.32,224.77,"2018-11-06 00:00:00",54,2,2,3,7,"223",Лояльные клиенты
VB-21745,Victoria Brennan,CA-2018-155698,OFF-LA-10001158,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Office Supplies,Labels,"2018-03-08 00:00:00","2018-03-11 00:00:00",First Class,Corporate,South,Georgia,Columbus,20.7,3,2018,2,VB-21745,Victoria Brennan,2,674.32,224.77,"2018-11-06 00:00:00",54,2,2,3,7,"223",Лояльные клиенты
