"customer_id","customer_name","order_id","product_id","product_name","category","sub_category","order_date","ship_date","ship_mode","segment","region","state","city","sales","order_month","order_year","quantity_orders","customer_id:1","customer_name:1","orders_quantity","orders_sum","avg_order","last_order","last_order_day","rfm_recency","rfm_frequency","rfm_monetary","rfm_cell","rfm_cell_string","rfm_segment"
RA-19885,Ruben Ausman,CA-2017-101343,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,"2017-07-17 00:00:00","2017-07-22 00:00:00",Standard Class,Corporate,West,California,Los Angeles,77.88,7,2017,1,RA-19885,Ruben Ausman,1,77.88,77.88,"2017-07-17 00:00:00",167,4,1,1,6,"411",Потерянные клиенты
ON-18715,Odella Nelson,CA-2017-118255,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,"2017-03-11 00:00:00","2017-03-13 00:00:00",First Class,Corporate,Central,Minnesota,Eagan,45.98,3,2017,3,ON-18715,Odella Nelson,3,853.44,213.36,"2017-11-15 00:00:00",46,2,4,3,9,"243",Лояльные клиенты
ON-18715,Odella Nelson,CA-2017-118255,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,"2017-03-11 00:00:00","2017-03-13 00:00:00",First Class,Corporate,Central,Minnesota,Eagan,17.46,3,2017,3,ON-18715,Odella Nelson,3,853.44,213.36,"2017-11-15 00:00:00",46,2,4,3,9,"243",Лояльные клиенты
LH-16900,Lena Hernandez,CA-2017-169194,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,"2017-06-20 00:00:00","2017-06-25 00:00:00",Standard Class,Consumer,East,Delaware,Dover,45.0,6,2017,2,LH-16900,Lena Hernandez,2,401.05,80.21,"2017-12-08 00:00:00",23,1,3,2,6,"132",Новые клиенты
LH-16900,Lena Hernandez,CA-2017-169194,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,"2017-06-20 00:00:00","2017-06-25 00:00:00",Standard Class,Consumer,East,Delaware,Dover,21.8,6,2017,2,LH-16900,Lena Hernandez,2,401.05,80.21,"2017-12-08 00:00:00",23,1,3,2,6,"132",Новые клиенты
JM-15265,Janet Molinari,CA-2017-105816,OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners,"2017-12-11 00:00:00","2017-12-17 00:00:00",Standard Class,Corporate,East,New York,New York City,15.26,12,2017,2,JM-15265,Janet Molinari,2,1077.17,359.06,"2017-12-11 00:00:00",20,1,3,3,7,"133",Новые клиенты
JM-15265,Janet Molinari,CA-2017-105816,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones,"2017-12-11 00:00:00","2017-12-17 00:00:00",Standard Class,Corporate,East,New York,New York City,1029.95,12,2017,2,JM-15265,Janet Molinari,2,1077.17,359.06,"2017-12-11 00:00:00",20,1,3,3,7,"133",Новые клиенты
TB-21055,Ted Butterfield,CA-2017-111682,OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,Storage,"2017-06-17 00:00:00","2017-06-18 00:00:00",First Class,Consumer,East,New York,Troy,208.56,6,2017,2,TB-21055,Ted Butterfield,2,1204.87,92.68,"2017-08-27 00:00:00",126,3,3,4,10,"334",Спящие клиенты
TB-21055,Ted Butterfield,CA-2017-111682,OFF-PA-10001569,Xerox 232,Office Supplies,Paper,"2017-06-17 00:00:00","2017-06-18 00:00:00",First Class,Consumer,East,New York,Troy,32.4,6,2017,2,TB-21055,Ted Butterfield,2,1204.87,92.68,"2017-08-27 00:00:00",126,3,3,4,10,"334",Спящие клиенты
TB-21055,Ted Butterfield,CA-2017-111682,FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,"2017-06-17 00:00:00","2017-06-18 00:00:00",First Class,Consumer,East,New York,Troy,319.41,6,2017,2,TB-21055,Ted Butterfield,2,1204.87,92.68,"2017-08-27 00:00:00",126,3,3,4,10,"334",Спящие клиенты
TB-21055,Ted Butterfield,CA-2017-111682,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,"2017-06-17 00:00:00","2017-06-18 00:00:00",First Class,Consumer,East,New York,Troy,14.56,6,2017,2,TB-21055,Ted Butterfield,2,1204.87,92.68,"2017-08-27 00:00:00",126,3,3,4,10,"334",Спящие клиенты
TB-21055,Ted Butterfield,CA-2017-111682,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,"2017-06-17 00:00:00","2017-06-18 00:00:00",First Class,Consumer,East,New York,Troy,30.0,6,2017,2,TB-21055,Ted Butterfield,2,1204.87,92.68,"2017-08-27 00:00:00",126,3,3,4,10,"334",Спящие клиенты
TB-21055,Ted Butterfield,CA-2017-111682,OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders,"2017-06-17 00:00:00","2017-06-18 00:00:00",First Class,Consumer,East,New York,Troy,48.48,6,2017,2,TB-21055,Ted Butterfield,2,1204.87,92.68,"2017-08-27 00:00:00",126,3,3,4,10,"334",Спящие клиенты
TB-21055,Ted Butterfield,CA-2017-111682,OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,"2017-06-17 00:00:00","2017-06-18 00:00:00",First Class,Consumer,East,New York,Troy,1.68,6,2017,2,TB-21055,Ted Butterfield,2,1204.87,92.68,"2017-08-27 00:00:00",126,3,3,4,10,"334",Спящие клиенты
KD-16270,Karen Daniels,CA-2017-119823,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,"2017-06-04 00:00:00","2017-06-06 00:00:00",First Class,Consumer,South,Virginia,Springfield,75.88,6,2017,3,KD-16270,Karen Daniels,3,6317.16,902.45,"2017-09-02 00:00:00",120,3,4,4,11,"344",Спящие клиенты
HM-14980,Henry MacAllister,CA-2017-106075,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,"2017-09-18 00:00:00","2017-09-23 00:00:00",Standard Class,Consumer,East,New York,New York City,4.62,9,2017,1,HM-14980,Henry MacAllister,1,4.62,4.62,"2017-09-18 00:00:00",104,3,1,1,5,"311",Спящие клиенты
SC-20770,Stewart Carmichael,CA-2017-127208,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,"2017-06-12 00:00:00","2017-06-15 00:00:00",First Class,Corporate,South,Alabama,Decatur,208.16,6,2017,4,SC-20770,Stewart Carmichael,4,3339.96,222.66,"2017-11-15 00:00:00",46,2,4,4,10,"244",Лояльные клиенты
SC-20770,Stewart Carmichael,CA-2017-127208,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,"2017-06-12 00:00:00","2017-06-15 00:00:00",First Class,Corporate,South,Alabama,Decatur,16.74,6,2017,4,SC-20770,Stewart Carmichael,4,3339.96,222.66,"2017-11-15 00:00:00",46,2,4,4,10,"244",Лояльные клиенты
GM-14455,Gary Mitchum,CA-2017-159695,OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage,"2017-04-05 00:00:00","2017-04-10 00:00:00",Second Class,Home Office,Central,Texas,Houston,158.37,4,2017,2,GM-14455,Gary Mitchum,2,782.95,260.98,"2017-04-19 00:00:00",256,4,3,3,10,"433",Потерянные клиенты
JS-15685,Jim Sink,CA-2017-109806,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,"2017-09-17 00:00:00","2017-09-22 00:00:00",Standard Class,Corporate,West,California,Los Angeles,20.1,9,2017,2,JS-15685,Jim Sink,2,437.34,109.34,"2017-09-17 00:00:00",105,3,3,2,8,"332",Спящие клиенты
JS-15685,Jim Sink,CA-2017-109806,TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,"2017-09-17 00:00:00","2017-09-22 00:00:00",Standard Class,Corporate,West,California,Los Angeles,73.58,9,2017,2,JS-15685,Jim Sink,2,437.34,109.34,"2017-09-17 00:00:00",105,3,3,2,8,"332",Спящие клиенты
JS-15685,Jim Sink,CA-2017-109806,OFF-PA-10000304,Xerox 1995,Office Supplies,Paper,"2017-09-17 00:00:00","2017-09-22 00:00:00",Standard Class,Corporate,West,California,Los Angeles,6.48,9,2017,2,JS-15685,Jim Sink,2,437.34,109.34,"2017-09-17 00:00:00",105,3,3,2,8,"332",Спящие клиенты
ER-13855,Elpida Rittenbach,CA-2017-149223,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,"2017-09-06 00:00:00","2017-09-11 00:00:00",Standard Class,Corporate,Central,Minnesota,Saint Paul,77.88,9,2017,2,ER-13855,Elpida Rittenbach,2,1184.81,296.2,"2017-11-04 00:00:00",57,2,3,3,8,"233",Лояльные клиенты
RB-19465,Rick Bensley,CA-2017-158568,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,"2017-08-29 00:00:00","2017-09-02 00:00:00",Standard Class,Home Office,Central,Illinois,Chicago,64.62,8,2017,6,RB-19465,Rick Bensley,6,2787.64,232.3,"2017-08-29 00:00:00",124,3,4,4,11,"344",Спящие клиенты
RB-19465,Rick Bensley,CA-2017-158568,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,"2017-08-29 00:00:00","2017-09-02 00:00:00",Standard Class,Home Office,Central,Illinois,Chicago,95.98,8,2017,6,RB-19465,Rick Bensley,6,2787.64,232.3,"2017-08-29 00:00:00",124,3,4,4,11,"344",Спящие клиенты
RB-19465,Rick Bensley,CA-2017-158568,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,"2017-08-29 00:00:00","2017-09-02 00:00:00",Standard Class,Home Office,Central,Illinois,Chicago,1.79,8,2017,6,RB-19465,Rick Bensley,6,2787.64,232.3,"2017-08-29 00:00:00",124,3,4,4,11,"344",Спящие клиенты
GZ-14470,Gary Zandusky,CA-2017-129903,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,"2017-12-01 00:00:00","2017-12-04 00:00:00",Second Class,Consumer,Central,Minnesota,Rochester,23.92,12,2017,2,GZ-14470,Gary Zandusky,2,2097.27,524.32,"2017-12-01 00:00:00",30,1,3,4,8,"134",Новые клиенты
CL-12565,Clay Ludtke,CA-2017-128867,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,"2017-11-03 00:00:00","2017-11-10 00:00:00",Standard Class,Consumer,Central,Iowa,Urbandale,75.96,11,2017,5,CL-12565,Clay Ludtke,5,3786.57,252.44,"2017-12-19 00:00:00",12,1,4,4,9,"144",Новые клиенты
CL-12565,Clay Ludtke,CA-2017-128867,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,"2017-11-03 00:00:00","2017-11-10 00:00:00",Standard Class,Consumer,Central,Iowa,Urbandale,27.24,11,2017,5,CL-12565,Clay Ludtke,5,3786.57,252.44,"2017-12-19 00:00:00",12,1,4,4,9,"144",Новые клиенты
SC-20725,Steven Cartwright,CA-2017-103730,FUR-FU-10002157,Artistic Insta-Plaque,Furniture,Furnishings,"2017-06-12 00:00:00","2017-06-15 00:00:00",First Class,Consumer,East,Delaware,Wilmington,47.04,6,2017,2,SC-20725,Steven Cartwright,2,869.3,108.66,"2017-06-12 00:00:00",202,4,3,3,10,"433",Потерянные клиенты
SC-20725,Steven Cartwright,CA-2017-103730,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,"2017-06-12 00:00:00","2017-06-15 00:00:00",First Class,Consumer,East,Delaware,Wilmington,30.84,6,2017,2,SC-20725,Steven Cartwright,2,869.3,108.66,"2017-06-12 00:00:00",202,4,3,3,10,"433",Потерянные клиенты
SC-20725,Steven Cartwright,CA-2017-103730,OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,Storage,"2017-06-12 00:00:00","2017-06-15 00:00:00",First Class,Consumer,East,Delaware,Wilmington,226.56,6,2017,2,SC-20725,Steven Cartwright,2,869.3,108.66,"2017-06-12 00:00:00",202,4,3,3,10,"433",Потерянные клиенты
SC-20725,Steven Cartwright,CA-2017-103730,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,"2017-06-12 00:00:00","2017-06-15 00:00:00",First Class,Consumer,East,Delaware,Wilmington,115.02,6,2017,2,SC-20725,Steven Cartwright,2,869.3,108.66,"2017-06-12 00:00:00",202,4,3,3,10,"433",Потерянные клиенты
SC-20725,Steven Cartwright,CA-2017-103730,TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,"2017-06-12 00:00:00","2017-06-15 00:00:00",First Class,Consumer,East,Delaware,Wilmington,68.04,6,2017,2,SC-20725,Steven Cartwright,2,869.3,108.66,"2017-06-12 00:00:00",202,4,3,3,10,"433",Потерянные клиенты
LS-16975,Lindsay Shagiari,US-2017-125969,FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,"2017-11-06 00:00:00","2017-11-10 00:00:00",Second Class,Home Office,West,California,Los Angeles,81.42,11,2017,2,LS-16975,Lindsay Shagiari,2,329.24,109.75,"2017-11-06 00:00:00",55,2,3,2,7,"232",Лояльные клиенты
LS-16975,Lindsay Shagiari,US-2017-125969,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,"2017-11-06 00:00:00","2017-11-10 00:00:00",Second Class,Home Office,West,California,Los Angeles,238.56,11,2017,2,LS-16975,Lindsay Shagiari,2,329.24,109.75,"2017-11-06 00:00:00",55,2,3,2,7,"232",Лояльные клиенты
LC-16885,Lena Creighton,CA-2017-145583,OFF-PA-10001804,Xerox 195,Office Supplies,Paper,"2017-10-13 00:00:00","2017-10-19 00:00:00",Standard Class,Consumer,West,California,Roseville,20.04,10,2017,3,LC-16885,Lena Creighton,3,1031.27,103.13,"2017-12-22 00:00:00",9,1,4,3,8,"143",Новые клиенты
LC-16885,Lena Creighton,CA-2017-145583,OFF-PA-10001736,Xerox 1880,Office Supplies,Paper,"2017-10-13 00:00:00","2017-10-19 00:00:00",Standard Class,Consumer,West,California,Roseville,35.44,10,2017,3,LC-16885,Lena Creighton,3,1031.27,103.13,"2017-12-22 00:00:00",9,1,4,3,8,"143",Новые клиенты
LC-16885,Lena Creighton,CA-2017-145583,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,"2017-10-13 00:00:00","2017-10-19 00:00:00",Standard Class,Consumer,West,California,Roseville,11.52,10,2017,3,LC-16885,Lena Creighton,3,1031.27,103.13,"2017-12-22 00:00:00",9,1,4,3,8,"143",Новые клиенты
LC-16885,Lena Creighton,CA-2017-145583,OFF-FA-10002988,Ideal Clamps,Office Supplies,Fasteners,"2017-10-13 00:00:00","2017-10-19 00:00:00",Standard Class,Consumer,West,California,Roseville,4.02,10,2017,3,LC-16885,Lena Creighton,3,1031.27,103.13,"2017-12-22 00:00:00",9,1,4,3,8,"143",Новые клиенты
LC-16885,Lena Creighton,CA-2017-145583,OFF-BI-10004781,GBC Wire Binding Strips,Office Supplies,Binders,"2017-10-13 00:00:00","2017-10-19 00:00:00",Standard Class,Consumer,West,California,Roseville,76.18,10,2017,3,LC-16885,Lena Creighton,3,1031.27,103.13,"2017-12-22 00:00:00",9,1,4,3,8,"143",Новые клиенты
LC-16885,Lena Creighton,CA-2017-145583,OFF-SU-10001218,Fiskars Softgrip Scissors,Office Supplies,Supplies,"2017-10-13 00:00:00","2017-10-19 00:00:00",Standard Class,Consumer,West,California,Roseville,65.88,10,2017,3,LC-16885,Lena Creighton,3,1031.27,103.13,"2017-12-22 00:00:00",9,1,4,3,8,"143",Новые клиенты
LC-16885,Lena Creighton,CA-2017-145583,FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,"2017-10-13 00:00:00","2017-10-19 00:00:00",Standard Class,Consumer,West,California,Roseville,43.12,10,2017,3,LC-16885,Lena Creighton,3,1031.27,103.13,"2017-12-22 00:00:00",9,1,4,3,8,"143",Новые клиенты
JD-15895,Jonathan Doherty,CA-2017-110366,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,"2017-09-05 00:00:00","2017-09-07 00:00:00",Second Class,Corporate,East,Pennsylvania,Philadelphia,82.8,9,2017,7,JD-15895,Jonathan Doherty,7,6181.11,294.34,"2017-12-01 00:00:00",30,1,4,4,9,"144",Новые клиенты
JE-16165,Justin Ellison,CA-2017-114489,TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones,"2017-12-05 00:00:00","2017-12-09 00:00:00",Standard Class,Corporate,Central,Wisconsin,Franklin,384.45,12,2017,1,JE-16165,Justin Ellison,1,2657.81,664.45,"2017-12-05 00:00:00",26,1,2,4,7,"124",Новые клиенты
JE-16165,Justin Ellison,CA-2017-114489,TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,"2017-12-05 00:00:00","2017-12-09 00:00:00",Standard Class,Corporate,Central,Wisconsin,Franklin,149.97,12,2017,1,JE-16165,Justin Ellison,1,2657.81,664.45,"2017-12-05 00:00:00",26,1,2,4,7,"124",Новые клиенты
JE-16165,Justin Ellison,CA-2017-114489,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,"2017-12-05 00:00:00","2017-12-09 00:00:00",Standard Class,Corporate,Central,Wisconsin,Franklin,1951.84,12,2017,1,JE-16165,Justin Ellison,1,2657.81,664.45,"2017-12-05 00:00:00",26,1,2,4,7,"124",Новые клиенты
JE-16165,Justin Ellison,CA-2017-114489,OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,"2017-12-05 00:00:00","2017-12-09 00:00:00",Standard Class,Corporate,Central,Wisconsin,Franklin,171.55,12,2017,1,JE-16165,Justin Ellison,1,2657.81,664.45,"2017-12-05 00:00:00",26,1,2,4,7,"124",Новые клиенты
TW-21025,Tamara Willingham,CA-2017-158834,OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances,"2017-03-13 00:00:00","2017-03-16 00:00:00",First Class,Home Office,West,Arizona,Scottsdale,157.92,3,2017,1,TW-21025,Tamara Willingham,1,361.1,180.55,"2017-03-13 00:00:00",293,4,2,2,8,"422",Потерянные клиенты
TW-21025,Tamara Willingham,CA-2017-158834,TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones,"2017-03-13 00:00:00","2017-03-16 00:00:00",First Class,Home Office,West,Arizona,Scottsdale,203.18,3,2017,1,TW-21025,Tamara Willingham,1,361.1,180.55,"2017-03-13 00:00:00",293,4,2,2,8,"422",Потерянные клиенты
NP-18670,Nora Paige,CA-2017-114104,OFF-LA-10002475,Avery 519,Office Supplies,Labels,"2017-11-20 00:00:00","2017-11-24 00:00:00",Standard Class,Consumer,Central,Oklahoma,Edmond,14.62,11,2017,2,NP-18670,Nora Paige,2,1015.54,338.51,"2017-11-20 00:00:00",41,2,3,3,8,"233",Лояльные клиенты
NP-18670,Nora Paige,CA-2017-114104,TEC-PH-10004536,Avaya 5420 Digital phone,Technology,Phones,"2017-11-20 00:00:00","2017-11-24 00:00:00",Standard Class,Consumer,Central,Oklahoma,Edmond,944.93,11,2017,2,NP-18670,Nora Paige,2,1015.54,338.51,"2017-11-20 00:00:00",41,2,3,3,8,"233",Лояльные клиенты
TT-21070,Ted Trevino,CA-2017-162733,OFF-PA-10002751,Xerox 1920,Office Supplies,Paper,"2017-05-11 00:00:00","2017-05-12 00:00:00",First Class,Consumer,West,California,Los Angeles,5.98,5,2017,1,TT-21070,Ted Trevino,1,5.98,5.98,"2017-05-11 00:00:00",234,4,1,1,6,"411",Потерянные клиенты
RD-19900,Ruben Dartt,CA-2017-154508,OFF-EN-10001990,Staple envelope,Office Supplies,Envelopes,"2017-11-16 00:00:00","2017-11-20 00:00:00",Standard Class,Consumer,West,New Mexico,Carlsbad,28.4,11,2017,3,RD-19900,Ruben Dartt,3,1154.28,192.38,"2017-11-16 00:00:00",45,2,4,3,9,"243",Лояльные клиенты
MJ-17740,Max Jones,CA-2017-113817,OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,"2017-11-07 00:00:00","2017-11-11 00:00:00",Standard Class,Consumer,West,Washington,Seattle,27.68,11,2017,4,MJ-17740,Max Jones,4,5152.27,572.47,"2017-11-07 00:00:00",54,2,4,4,10,"244",Лояльные клиенты
SK-19990,Sally Knutson,CA-2017-105018,OFF-BI-10001890,Avery Poly Binder Pockets,Office Supplies,Binders,"2017-11-28 00:00:00","2017-12-02 00:00:00",Standard Class,Consumer,East,Connecticut,Fairfield,7.16,11,2017,1,SK-19990,Sally Knutson,1,7.16,7.16,"2017-11-28 00:00:00",33,1,1,1,3,"111",Новые клиенты
AM-10360,Alice McCarthy,CA-2017-157000,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,"2017-07-16 00:00:00","2017-07-22 00:00:00",Standard Class,Corporate,Central,Texas,Grand Prairie,37.22,7,2017,1,AM-10360,Alice McCarthy,1,57.24,28.62,"2017-07-16 00:00:00",168,4,1,1,6,"411",Потерянные клиенты
AM-10360,Alice McCarthy,CA-2017-157000,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,"2017-07-16 00:00:00","2017-07-22 00:00:00",Standard Class,Corporate,Central,Texas,Grand Prairie,20.02,7,2017,1,AM-10360,Alice McCarthy,1,57.24,28.62,"2017-07-16 00:00:00",168,4,1,1,6,"411",Потерянные клиенты
JH-15910,Jonathan Howell,CA-2017-130162,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,"2017-10-28 00:00:00","2017-11-01 00:00:00",Standard Class,Consumer,West,California,Los Angeles,93.06,10,2017,2,JH-15910,Jonathan Howell,2,424.29,141.43,"2017-10-28 00:00:00",64,2,3,2,7,"232",Лояльные клиенты
JH-15910,Jonathan Howell,CA-2017-130162,TEC-PH-10002563,Adtran 1202752G1,Technology,Phones,"2017-10-28 00:00:00","2017-11-01 00:00:00",Standard Class,Consumer,West,California,Los Angeles,302.38,10,2017,2,JH-15910,Jonathan Howell,2,424.29,141.43,"2017-10-28 00:00:00",64,2,3,2,7,"232",Лояльные клиенты
KL-16645,Ken Lonsdale,CA-2017-157749,OFF-PA-10003349,Xerox 1957,Office Supplies,Paper,"2017-06-04 00:00:00","2017-06-09 00:00:00",Second Class,Consumer,Central,Illinois,Chicago,25.92,6,2017,4,KL-16645,Ken Lonsdale,4,3996.69,307.44,"2017-12-29 00:00:00",2,1,4,4,9,"144",Новые клиенты
KL-16645,Ken Lonsdale,CA-2017-157749,FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,"2017-06-04 00:00:00","2017-06-09 00:00:00",Second Class,Consumer,Central,Illinois,Chicago,419.68,6,2017,4,KL-16645,Ken Lonsdale,4,3996.69,307.44,"2017-12-29 00:00:00",2,1,4,4,9,"144",Новые клиенты
